pizzanev	darab	felvetel	kiszallitas
Nordic	3	2006.08.09 18:51:00	2006.08.09 19:56:00
Excellent	1	2006.08.09 19:06:00	2006.08.09 20:36:00
Király pizza	2	2006.08.09 19:46:00	2006.08.09 20:52:00
Kétszínű	1	2006.08.09 20:29:00	2006.08.09 23:38:00
Kétszínű	2	2006.08.09 20:40:00	2006.08.09 21:18:00
Quattro	1	2006.08.09 21:30:00	2006.08.09 23:31:00
Barbecue chicken	1	2006.08.09 22:25:00	2006.08.10 1:31:00
HamAndEggs	2	2006.08.09 22:53:00	2006.08.10 1:23:00
Pipis	2	2006.08.09 23:20:00	2006.08.10 1:13:00
Máj Fair Lady	2	2006.08.09 23:25:00	2006.08.10 0:33:00
Hercegnő	1	2006.08.09 23:50:00	2006.08.10 0:55:00
Popey	3	2006.08.09 23:55:00	2006.08.10 2:50:00
Ínyenc	1	2006.08.10 0:32:00	2006.08.10 1:22:00
Tenger gyümölcsei	1	2006.08.10 0:54:00	2006.08.10 1:25:00
HamAndEggs	1	2006.08.10 1:25:00	2006.08.10 2:36:00
Szardíniás	1	2006.08.10 1:37:00	2006.08.10 3:03:00
Szerzetes	2	2006.08.10 2:14:00	2006.08.10 4:22:00
Francia	1	2006.08.10 2:35:00	2006.08.10 3:48:00
Nikó	3	2006.08.10 2:39:00	2006.08.10 4:35:00
Mexikói	3	2006.08.10 2:50:00	2006.08.10 3:31:00
Ilike	1	2006.08.10 3:31:00	2006.08.10 5:30:00
Nyuszó-Muszó	1	2006.08.10 3:52:00	2006.08.10 6:51:00
Maffiózó	1	2006.08.10 4:03:00	2006.08.10 4:38:00
Caribi	1	2006.08.10 4:58:00	2006.08.10 7:18:00
Szőke kapitány	2	2006.08.10 5:54:00	2006.08.10 6:41:00
Kolbászos	1	2006.08.10 6:21:00	2006.08.10 6:54:00
Lagúna	1	2006.08.10 7:06:00	2006.08.10 9:44:00
Nyuszó-Muszó	1	2006.08.10 7:59:00	2006.08.10 10:20:00
Hawaii	3	2006.08.10 8:24:00	2006.08.10 11:16:00
Törperős	3	2006.08.10 9:12:00	2006.08.10 12:24:00
Gyros pizza	2	2006.08.10 9:34:00	2006.08.10 11:10:00
Pipis	1	2006.08.10 10:17:00	2006.08.10 13:18:00
Excellent	1	2006.08.10 10:54:00	2006.08.10 12:53:00
Pásztor	1	2006.08.10 11:21:00	2006.08.10 14:17:00
Son-go-ku	1	2006.08.10 11:45:00	2006.08.10 13:52:00
Babos	1	2006.08.10 11:59:00	2006.08.10 12:25:00
Spencer	1	2006.08.10 12:28:00	2006.08.10 15:12:00
Máj Fair Lady	3	2006.08.10 12:42:00	2006.08.10 13:11:00
Jobbágy	2	2006.08.10 12:56:00	2006.08.10 14:49:00
Szőke kapitány	1	2006.08.10 13:25:00	2006.08.10 14:23:00
Gyros pizza	1	2006.08.10 13:57:00	2006.08.10 16:47:00
Spanyol	2	2006.08.10 14:28:00	2006.08.10 17:24:00
Erdő kapitánya	1	2006.08.10 15:09:00	2006.08.10 18:12:00
Barbecue chicken	1	2006.08.10 15:30:00	2006.08.10 18:11:00
Lagúna	1	2006.08.10 15:31:00	2006.08.10 17:59:00
Quattro	3	2006.08.10 15:51:00	2006.08.10 19:00:00
Hawaii	1	2006.08.10 16:31:00	2006.08.10 17:54:00
Csupa sajt	3	2006.08.10 17:02:00	2006.08.10 17:30:00
Törperős	1	2006.08.10 17:59:00	2006.08.10 19:58:00
Tündi kedvence	1	2006.08.10 18:27:00	2006.08.10 21:18:00
Tündi kedvence	1	2006.08.10 18:57:00	2006.08.10 19:27:00
Kolbászos	1	2006.08.10 19:27:00	2006.08.10 22:07:00
Lagúna	1	2006.08.10 20:24:00	2006.08.10 22:23:00
Betyáros	3	2006.08.10 21:18:00	2006.08.10 22:44:00
Hellas	3	2006.08.10 21:21:00	2006.08.10 22:37:00
Ínyenc	1	2006.08.10 21:28:00	2006.08.10 23:51:00
Szardíniás	3	2006.08.10 22:01:00	2006.08.10 22:35:00
Csupa sajt	1	2006.08.10 22:03:00	2006.08.11 0:13:00
Görög	1	2006.08.10 22:20:00	2006.08.10 23:31:00
Erős János	3	2006.08.10 23:08:00	2006.08.11 1:54:00
Lecsó	1	2006.08.10 23:43:00	2006.08.11 2:17:00
Röfi	1	2006.08.10 23:54:00	2006.08.11 2:45:00
Lecsó	1	2006.08.11 0:39:00	2006.08.11 2:27:00
Zöldike	1	2006.08.11 1:00:00	2006.08.11 2:24:00
Erdő kapitánya	2	2006.08.11 1:22:00	2006.08.11 3:31:00
Főnök kedvence	1	2006.08.11 1:44:00	2006.08.11 4:03:00
Tenger gyümölcsei	2	2006.08.11 1:58:00	2006.08.11 5:10:00
Röfi	1	2006.08.11 2:52:00	2006.08.11 5:25:00
Pipis	1	2006.08.11 3:15:00	2006.08.11 5:56:00
Szalámis	1	2006.08.11 3:50:00	2006.08.11 4:40:00
Ilike	1	2006.08.11 3:53:00	2006.08.11 6:06:00
Tündi kedvence	2	2006.08.11 4:42:00	2006.08.11 6:13:00
Mamma fia	2	2006.08.11 5:13:00	2006.08.11 6:22:00
Babos	3	2006.08.11 5:24:00	2006.08.11 8:15:00
Király pizza	1	2006.08.11 6:05:00	2006.08.11 8:07:00
Quattro	1	2006.08.11 6:17:00	2006.08.11 6:54:00
Görög	1	2006.08.11 7:12:00	2006.08.11 8:27:00
Quattro	2	2006.08.11 7:49:00	2006.08.11 10:29:00
Tenger gyümölcsei	1	2006.08.11 7:54:00	2006.08.11 10:26:00
Nyuszó-Muszó	1	2006.08.11 8:36:00	2006.08.11 11:22:00
Sajtos	1	2006.08.11 9:28:00	2006.08.11 11:12:00
Pásztor	1	2006.08.11 9:36:00	2006.08.11 11:00:00
Mexikói	1	2006.08.11 9:47:00	2006.08.11 10:47:00
Maffiózó	1	2006.08.11 10:27:00	2006.08.11 12:43:00
Röfi	1	2006.08.11 10:39:00	2006.08.11 11:11:00
Barbecue chicken	1	2006.08.11 11:27:00	2006.08.11 11:53:00
Nordic	1	2006.08.11 11:28:00	2006.08.11 13:48:00
HamAndEggs	1	2006.08.11 12:25:00	2006.08.11 14:05:00
Frankfurti	3	2006.08.11 13:02:00	2006.08.11 14:02:00
Kiadós	1	2006.08.11 13:10:00	2006.08.11 15:16:00
Szőke kapitány	1	2006.08.11 13:54:00	2006.08.11 15:35:00
Mexikói	1	2006.08.11 13:57:00	2006.08.11 16:13:00
Country	1	2006.08.11 14:31:00	2006.08.11 15:11:00
Mixi	1	2006.08.11 14:56:00	2006.08.11 16:37:00
Görög	2	2006.08.11 15:07:00	2006.08.11 16:13:00
Pásztor	1	2006.08.11 15:37:00	2006.08.11 16:26:00
Rettenetes magyar	1	2006.08.11 16:31:00	2006.08.11 19:07:00
Kolbászos	1	2006.08.11 16:59:00	2006.08.11 17:45:00
Juhtúrós	1	2006.08.11 17:29:00	2006.08.11 20:21:00
Tündi kedvence	1	2006.08.11 18:00:00	2006.08.11 18:33:00
Nyuszó-Muszó	1	2006.08.11 18:01:00	2006.08.11 19:12:00
Sajtos	1	2006.08.11 18:47:00	2006.08.11 19:24:00
Rettenetes magyar	1	2006.08.11 19:38:00	2006.08.11 22:18:00
Excellent	1	2006.08.11 20:05:00	2006.08.11 23:14:00
Tenger gyümölcsei	1	2006.08.11 20:36:00	2006.08.11 22:07:00
Magvas	1	2006.08.11 20:48:00	2006.08.11 21:25:00
Szerzetes	1	2006.08.11 20:59:00	2006.08.11 22:18:00
Máj Fair Lady	1	2006.08.11 21:13:00	2006.08.11 22:22:00
Röfi	3	2006.08.11 21:33:00	2006.08.11 22:38:00
Pástétomos	1	2006.08.11 22:12:00	2006.08.12 0:51:00
Gombás	3	2006.08.11 22:21:00	2006.08.12 0:03:00
Spencer	1	2006.08.11 22:55:00	2006.08.12 1:40:00
Quattro	2	2006.08.11 22:57:00	2006.08.12 2:05:00
Country	1	2006.08.11 23:19:00	2006.08.12 0:31:00
Áfonyás	3	2006.08.12 0:16:00	2006.08.12 1:57:00
Füstös	3	2006.08.12 1:09:00	2006.08.12 4:01:00
Nyuszó-Muszó	3	2006.08.12 1:30:00	2006.08.12 3:08:00
Magvas	1	2006.08.12 1:58:00	2006.08.12 3:01:00
Gyros pizza	1	2006.08.12 2:04:00	2006.08.12 3:44:00
Kolbászos	1	2006.08.12 2:57:00	2006.08.12 4:47:00
Frankfurti	1	2006.08.12 3:17:00	2006.08.12 5:56:00
Főnök kedvence	1	2006.08.12 3:26:00	2006.08.12 5:37:00
Ínyenc	1	2006.08.12 4:08:00	2006.08.12 7:00:00
Erdő kapitánya	1	2006.08.12 4:21:00	2006.08.12 6:49:00
Gombás	1	2006.08.12 4:22:00	2006.08.12 6:29:00
Tüzes halál	1	2006.08.12 4:42:00	2006.08.12 5:35:00
Tonhalas	2	2006.08.12 5:34:00	2006.08.12 7:34:00
Mixi	1	2006.08.12 5:46:00	2006.08.12 8:14:00
Nikó	2	2006.08.12 6:16:00	2006.08.12 8:09:00
Betyáros	1	2006.08.12 6:30:00	2006.08.12 8:39:00
Pacalos	1	2006.08.12 7:05:00	2006.08.12 9:58:00
Pásztor	1	2006.08.12 7:45:00	2006.08.12 10:30:00
Góré	1	2006.08.12 8:16:00	2006.08.12 10:07:00
Ilike	1	2006.08.12 9:00:00	2006.08.12 10:04:00
Quattro	1	2006.08.12 9:24:00	2006.08.12 11:21:00
Maffiózó	1	2006.08.12 9:53:00	2006.08.12 12:01:00
Pástétomos	2	2006.08.12 10:05:00	2006.08.12 11:31:00
Csabesz	1	2006.08.12 10:44:00	2006.08.12 11:39:00
Popey	3	2006.08.12 11:14:00	2006.08.12 13:09:00
Nyuszó-Muszó	1	2006.08.12 12:01:00	2006.08.12 13:52:00
Jobbágy	2	2006.08.12 12:06:00	2006.08.12 15:00:00
Tüzes halál	1	2006.08.12 12:36:00	2006.08.12 13:08:00
Király pizza	3	2006.08.12 13:27:00	2006.08.12 14:02:00
Magyaros	1	2006.08.12 14:06:00	2006.08.12 15:25:00
Jobbágy	1	2006.08.12 14:36:00	2006.08.12 15:12:00
Hawaii	1	2006.08.12 15:16:00	2006.08.12 15:54:00
Király pizza	1	2006.08.12 16:13:00	2006.08.12 17:39:00
Pacalos	1	2006.08.12 16:18:00	2006.08.12 18:08:00
Tüzes halál	3	2006.08.12 17:12:00	2006.08.12 20:22:00
Frankfurti	1	2006.08.12 17:14:00	2006.08.12 18:41:00
Ráki	1	2006.08.12 17:32:00	2006.08.12 18:25:00
Mixi	1	2006.08.12 18:21:00	2006.08.12 19:46:00
Erős János	2	2006.08.12 18:30:00	2006.08.12 19:35:00
Son-go-ku	1	2006.08.12 19:00:00	2006.08.12 19:44:00
Hawaii	1	2006.08.12 19:09:00	2006.08.12 21:40:00
Ráki	3	2006.08.12 19:39:00	2006.08.12 22:39:00
Jobbágy	1	2006.08.12 19:40:00	2006.08.12 21:03:00
Röfi	1	2006.08.12 20:09:00	2006.08.12 21:21:00
Ínyenc	1	2006.08.12 20:29:00	2006.08.12 22:34:00
Hellas	2	2006.08.12 20:30:00	2006.08.12 22:16:00
Pásztor	2	2006.08.12 20:32:00	2006.08.12 23:07:00
Son-go-ku	3	2006.08.12 20:57:00	2006.08.12 23:12:00
Mixi	3	2006.08.12 21:33:00	2006.08.12 23:12:00
Excellent	1	2006.08.12 21:55:00	2006.08.13 0:22:00
Jázmin álma	3	2006.08.12 22:52:00	2006.08.13 0:19:00
Hamm	1	2006.08.12 23:05:00	2006.08.13 0:30:00
Gyros pizza	2	2006.08.12 23:35:00	2006.08.13 0:58:00
Füstös	2	2006.08.13 0:05:00	2006.08.13 1:54:00
Gombás	1	2006.08.13 0:06:00	2006.08.13 1:05:00
Zöldike	1	2006.08.13 0:08:00	2006.08.13 0:40:00
Jázmin álma	1	2006.08.13 0:45:00	2006.08.13 2:56:00
HamAndEggs	1	2006.08.13 1:42:00	2006.08.13 3:58:00
Frankfurti	3	2006.08.13 2:23:00	2006.08.13 4:44:00
Country	1	2006.08.13 2:34:00	2006.08.13 5:23:00
Máj Fair Lady	1	2006.08.13 3:20:00	2006.08.13 6:23:00
Vega	1	2006.08.13 4:09:00	2006.08.13 7:01:00
Jázmin álma	3	2006.08.13 4:24:00	2006.08.13 7:34:00
Kiadós	1	2006.08.13 5:11:00	2006.08.13 6:47:00
Caribi	1	2006.08.13 5:19:00	2006.08.13 6:22:00
Gino	2	2006.08.13 5:24:00	2006.08.13 7:01:00
Sonkás	1	2006.08.13 5:45:00	2006.08.13 7:10:00
Tüzes halál	2	2006.08.13 6:42:00	2006.08.13 8:59:00
Szardíniás	1	2006.08.13 7:24:00	2006.08.13 8:01:00
Füstös	1	2006.08.13 8:21:00	2006.08.13 8:51:00
Pástétomos	1	2006.08.13 8:37:00	2006.08.13 10:23:00
Tüzes halál	1	2006.08.13 8:53:00	2006.08.13 9:24:00
Sonkás	1	2006.08.13 9:42:00	2006.08.13 12:46:00
Sajtos	1	2006.08.13 10:36:00	2006.08.13 13:10:00
Kolbászos	1	2006.08.13 11:30:00	2006.08.13 13:56:00
Ilike	1	2006.08.13 12:07:00	2006.08.13 14:08:00
Röfi	3	2006.08.13 12:31:00	2006.08.13 13:51:00
Juhtúrós	1	2006.08.13 13:26:00	2006.08.13 16:16:00
Pástétomos	1	2006.08.13 13:35:00	2006.08.13 13:56:00
Szalámis	3	2006.08.13 14:31:00	2006.08.13 16:19:00
Tenger gyümölcsei	1	2006.08.13 15:03:00	2006.08.13 16:22:00
Pipis	2	2006.08.13 15:58:00	2006.08.13 16:28:00
Szerzetes	1	2006.08.13 16:04:00	2006.08.13 18:38:00
Gombás	2	2006.08.13 16:35:00	2006.08.13 17:56:00
Szőke kapitány	1	2006.08.13 16:55:00	2006.08.13 17:52:00
Gyros pizza	3	2006.08.13 17:38:00	2006.08.13 18:05:00
Ráki	1	2006.08.13 18:00:00	2006.08.13 20:24:00
Szalámis	3	2006.08.13 18:38:00	2006.08.13 20:07:00
Gombás	1	2006.08.13 18:44:00	2006.08.13 21:12:00
Máj Fair Lady	3	2006.08.13 19:10:00	2006.08.13 21:57:00
Szalámis	1	2006.08.13 19:31:00	2006.08.13 22:16:00
Juhtúrós	2	2006.08.13 20:01:00	2006.08.13 22:37:00
Mixi	1	2006.08.13 20:21:00	2006.08.13 22:59:00
Magvas	1	2006.08.13 21:17:00	2006.08.13 22:28:00
Hellas	1	2006.08.13 21:58:00	2006.08.14 1:08:00
Szalámis	1	2006.08.13 22:54:00	2006.08.14 0:10:00
Juhtúrós	1	2006.08.13 23:12:00	2006.08.14 0:34:00
Magyaros	1	2006.08.13 23:27:00	2006.08.14 1:38:00
Szalámis	1	2006.08.14 0:01:00	2006.08.14 1:44:00
Gyros pizza	1	2006.08.14 0:46:00	2006.08.14 1:41:00
Szerzetes	1	2006.08.14 1:02:00	2006.08.14 3:40:00
Nikó	1	2006.08.14 1:43:00	2006.08.14 4:48:00
Babos	1	2006.08.14 2:06:00	2006.08.14 2:34:00
Király pizza	1	2006.08.14 2:12:00	2006.08.14 3:36:00
Füstös	1	2006.08.14 2:19:00	2006.08.14 2:43:00
Szardíniás	1	2006.08.14 2:52:00	2006.08.14 4:52:00
Pipis	1	2006.08.14 3:47:00	2006.08.14 4:08:00
Babos	3	2006.08.14 3:53:00	2006.08.14 5:13:00
Spanyol	1	2006.08.14 4:00:00	2006.08.14 4:39:00
Mexikói	2	2006.08.14 4:11:00	2006.08.14 5:35:00
Kolbászos	2	2006.08.14 4:52:00	2006.08.14 6:17:00
Son-go-ku	1	2006.08.14 5:16:00	2006.08.14 8:03:00
Gombás	2	2006.08.14 5:21:00	2006.08.14 7:05:00
Country	1	2006.08.14 5:58:00	2006.08.14 7:08:00
Röfi	1	2006.08.14 6:33:00	2006.08.14 7:32:00
Erdő kapitánya	1	2006.08.14 7:10:00	2006.08.14 8:15:00
Lecsó	1	2006.08.14 7:49:00	2006.08.14 10:20:00
Szardíniás	1	2006.08.14 8:01:00	2006.08.14 9:40:00
Tenger gyümölcsei	1	2006.08.14 8:08:00	2006.08.14 10:47:00
Sonkás	3	2006.08.14 9:00:00	2006.08.14 11:51:00
Erdő kapitánya	3	2006.08.14 9:21:00	2006.08.14 12:17:00
Magyaros	1	2006.08.14 10:18:00	2006.08.14 10:38:00
Áfonyás	1	2006.08.14 10:21:00	2006.08.14 13:14:00
Maffiózó	1	2006.08.14 11:09:00	2006.08.14 13:22:00
Füstös	2	2006.08.14 11:21:00	2006.08.14 13:35:00
Áfonyás	1	2006.08.14 11:29:00	2006.08.14 14:18:00
Nikó	3	2006.08.14 11:56:00	2006.08.14 14:52:00
Frankfurti	3	2006.08.14 12:42:00	2006.08.14 14:13:00
Csabesz	1	2006.08.14 12:57:00	2006.08.14 16:09:00
Mixi	1	2006.08.14 13:51:00	2006.08.14 15:59:00
Gombás	1	2006.08.14 13:57:00	2006.08.14 17:06:00
Csabesz	1	2006.08.14 14:37:00	2006.08.14 17:06:00
Excellent	1	2006.08.14 14:57:00	2006.08.14 16:43:00
Barbecue chicken	1	2006.08.14 15:26:00	2006.08.14 15:52:00
Spanyol	3	2006.08.14 15:53:00	2006.08.14 17:19:00
Tüzes halál	1	2006.08.14 16:26:00	2006.08.14 17:32:00
Nikó	1	2006.08.14 17:07:00	2006.08.14 18:45:00
Gombás	1	2006.08.14 18:05:00	2006.08.14 19:22:00
Magyaros	1	2006.08.14 18:13:00	2006.08.14 20:23:00
Gombás	1	2006.08.14 18:51:00	2006.08.14 20:12:00
Magyaros	1	2006.08.14 19:37:00	2006.08.14 20:39:00
Quattro	1	2006.08.14 19:56:00	2006.08.14 22:51:00
Szardíniás	1	2006.08.14 20:06:00	2006.08.14 21:51:00
Kagylós	2	2006.08.14 20:16:00	2006.08.14 22:39:00
Spencer	2	2006.08.14 20:29:00	2006.08.14 20:53:00
Jázmin álma	3	2006.08.14 20:38:00	2006.08.14 22:55:00
Lecsó	1	2006.08.14 20:59:00	2006.08.14 22:19:00
Lecsó	1	2006.08.14 21:12:00	2006.08.14 22:00:00
Pásztor	3	2006.08.14 22:03:00	2006.08.15 0:09:00
Jobbágy	2	2006.08.14 22:22:00	2006.08.14 23:11:00
Jobbágy	1	2006.08.14 22:37:00	2006.08.14 22:59:00
Szardíniás	1	2006.08.14 23:25:00	2006.08.15 0:07:00
Máj Fair Lady	1	2006.08.14 23:46:00	2006.08.15 0:55:00
Mixi	1	2006.08.15 0:37:00	2006.08.15 3:45:00
Hellas	1	2006.08.15 1:22:00	2006.08.15 2:47:00
Hercegnő	2	2006.08.15 2:06:00	2006.08.15 4:26:00
Juhtúrós	1	2006.08.15 2:13:00	2006.08.15 4:00:00
Ilike	1	2006.08.15 2:37:00	2006.08.15 5:00:00
Hamm	1	2006.08.15 3:28:00	2006.08.15 5:25:00
Ráki	1	2006.08.15 4:14:00	2006.08.15 7:10:00
Szerzetes	3	2006.08.15 4:19:00	2006.08.15 6:25:00
Juhtúrós	1	2006.08.15 4:23:00	2006.08.15 7:27:00
Csupa sajt	3	2006.08.15 4:45:00	2006.08.15 7:52:00
Füstös	1	2006.08.15 4:58:00	2006.08.15 6:24:00
Jobbágy	3	2006.08.15 5:30:00	2006.08.15 6:00:00
Tündi kedvence	2	2006.08.15 5:42:00	2006.08.15 8:08:00
Görög	1	2006.08.15 6:37:00	2006.08.15 8:53:00
Jázmin álma	1	2006.08.15 7:09:00	2006.08.15 8:08:00
Szerzetes	1	2006.08.15 7:52:00	2006.08.15 10:30:00
Hercegnő	2	2006.08.15 8:34:00	2006.08.15 10:01:00
Frankfurti	1	2006.08.15 8:36:00	2006.08.15 9:47:00
Kívánság	3	2006.08.15 8:44:00	2006.08.15 10:54:00
Spencer	1	2006.08.15 9:13:00	2006.08.15 10:07:00
Kagylós	3	2006.08.15 9:24:00	2006.08.15 10:24:00
Áfonyás	1	2006.08.15 10:08:00	2006.08.15 10:37:00
Lecsó	1	2006.08.15 10:31:00	2006.08.15 12:25:00
Pipis	1	2006.08.15 11:04:00	2006.08.15 13:01:00
Magvas	1	2006.08.15 11:18:00	2006.08.15 13:07:00
Erdő kapitánya	1	2006.08.15 12:14:00	2006.08.15 15:09:00
Betyáros	1	2006.08.15 12:25:00	2006.08.15 14:54:00
Szerzetes	2	2006.08.15 12:42:00	2006.08.15 14:23:00
Pacalos	1	2006.08.15 12:42:00	2006.08.15 15:36:00
Törperős	1	2006.08.15 13:18:00	2006.08.15 14:49:00
Magyaros	1	2006.08.15 13:31:00	2006.08.15 16:31:00
Mamma fia	1	2006.08.15 13:41:00	2006.08.15 14:39:00
Spanyol	1	2006.08.15 14:32:00	2006.08.15 17:32:00
Görög	1	2006.08.15 14:55:00	2006.08.15 17:16:00
Francia	2	2006.08.15 15:39:00	2006.08.15 16:12:00
Hercegnő	1	2006.08.15 16:30:00	2006.08.15 18:14:00
Kétszínű	1	2006.08.15 16:48:00	2006.08.15 17:20:00
Góré	1	2006.08.15 17:27:00	2006.08.15 19:59:00
Máj Fair Lady	3	2006.08.15 18:00:00	2006.08.15 20:09:00
Mixi	1	2006.08.15 18:01:00	2006.08.15 19:22:00
Juhtúrós	1	2006.08.15 18:16:00	2006.08.15 21:09:00
Rettenetes magyar	1	2006.08.15 18:29:00	2006.08.15 20:03:00
Kagylós	3	2006.08.15 19:12:00	2006.08.15 20:24:00
Füstös	1	2006.08.15 19:38:00	2006.08.15 20:40:00
Gyros pizza	3	2006.08.15 20:01:00	2006.08.15 20:29:00
Hawaii	1	2006.08.15 20:50:00	2006.08.15 21:37:00
Főnök kedvence	1	2006.08.15 20:52:00	2006.08.15 23:50:00
Son-go-ku	1	2006.08.15 21:21:00	2006.08.16 0:32:00
Country	1	2006.08.15 21:34:00	2006.08.15 23:32:00
Hercegnő	1	2006.08.15 22:00:00	2006.08.15 22:59:00
Ráki	1	2006.08.15 22:28:00	2006.08.16 1:15:00
HamAndEggs	1	2006.08.15 22:37:00	2006.08.15 23:25:00
Spencer	3	2006.08.15 23:23:00	2006.08.16 1:22:00
Góré	2	2006.08.15 23:36:00	2006.08.16 1:49:00
Excellent	1	2006.08.16 0:30:00	2006.08.16 1:23:00
HamAndEggs	3	2006.08.16 1:09:00	2006.08.16 2:04:00
Vega	2	2006.08.16 1:24:00	2006.08.16 2:16:00
Nikó	3	2006.08.16 2:11:00	2006.08.16 4:59:00
Lagúna	1	2006.08.16 2:55:00	2006.08.16 4:30:00
Füstös	1	2006.08.16 2:58:00	2006.08.16 4:12:00
Pacalos	1	2006.08.16 3:26:00	2006.08.16 4:14:00
Mixi	1	2006.08.16 4:21:00	2006.08.16 6:36:00
Francia	1	2006.08.16 5:12:00	2006.08.16 7:19:00
Rettenetes magyar	1	2006.08.16 5:41:00	2006.08.16 8:39:00
Jázmin álma	1	2006.08.16 6:18:00	2006.08.16 9:26:00
Király pizza	3	2006.08.16 6:32:00	2006.08.16 9:32:00
Hawaii	1	2006.08.16 7:28:00	2006.08.16 9:01:00
Kolbászos	1	2006.08.16 8:11:00	2006.08.16 8:31:00
Son-go-ku	3	2006.08.16 8:30:00	2006.08.16 9:32:00
Füstös	1	2006.08.16 8:37:00	2006.08.16 11:31:00
Barbecue chicken	1	2006.08.16 9:03:00	2006.08.16 11:40:00
Kagylós	3	2006.08.16 9:22:00	2006.08.16 11:05:00
Sajtos	3	2006.08.16 10:08:00	2006.08.16 13:15:00
Röfi	1	2006.08.16 10:47:00	2006.08.16 12:27:00
Sonkás	3	2006.08.16 11:05:00	2006.08.16 14:11:00
Caribi	1	2006.08.16 11:40:00	2006.08.16 12:21:00
Ilike	1	2006.08.16 12:21:00	2006.08.16 14:34:00
Hellas	2	2006.08.16 13:03:00	2006.08.16 13:59:00
Máj Fair Lady	3	2006.08.16 13:41:00	2006.08.16 14:23:00
Zöldike	1	2006.08.16 14:35:00	2006.08.16 15:17:00
Áfonyás	1	2006.08.16 15:23:00	2006.08.16 17:14:00
Ráki	2	2006.08.16 15:28:00	2006.08.16 17:39:00
Mixi	1	2006.08.16 16:10:00	2006.08.16 16:57:00
Country	1	2006.08.16 16:42:00	2006.08.16 18:20:00
Erős János	1	2006.08.16 16:49:00	2006.08.16 19:56:00
Hamm	1	2006.08.16 16:57:00	2006.08.16 17:29:00
Mexikói	1	2006.08.16 17:09:00	2006.08.16 17:43:00
Hellas	1	2006.08.16 17:54:00	2006.08.16 20:35:00
Country	3	2006.08.16 18:22:00	2006.08.16 21:09:00
Sajtos	1	2006.08.16 19:07:00	2006.08.16 21:27:00
Tündi kedvence	2	2006.08.16 19:42:00	2006.08.16 21:40:00
Gombás	1	2006.08.16 20:12:00	2006.08.16 21:36:00
Mamma fia	3	2006.08.16 20:22:00	2006.08.16 22:58:00
Góré	3	2006.08.16 20:58:00	2006.08.16 23:25:00
Szőke kapitány	1	2006.08.16 21:48:00	2006.08.16 23:04:00
Erős János	1	2006.08.16 22:15:00	2006.08.16 22:47:00
Lecsó	1	2006.08.16 22:45:00	2006.08.16 23:56:00
Nyuszó-Muszó	3	2006.08.16 23:35:00	2006.08.17 0:25:00
Spencer	1	2006.08.17 0:07:00	2006.08.17 1:01:00
Áfonyás	1	2006.08.17 0:33:00	2006.08.17 1:40:00
Country	3	2006.08.17 0:54:00	2006.08.17 2:06:00
Csabesz	1	2006.08.17 1:20:00	2006.08.17 2:32:00
Gino	1	2006.08.17 1:41:00	2006.08.17 3:33:00
Szerzetes	1	2006.08.17 1:42:00	2006.08.17 4:18:00
Hellas	1	2006.08.17 1:51:00	2006.08.17 4:11:00
Erős János	3	2006.08.17 2:43:00	2006.08.17 5:23:00
Röfi	1	2006.08.17 2:59:00	2006.08.17 3:28:00
Mixi	3	2006.08.17 3:19:00	2006.08.17 6:06:00
Törperős	1	2006.08.17 3:47:00	2006.08.17 6:52:00
Ráki	1	2006.08.17 4:01:00	2006.08.17 5:12:00
Magvas	1	2006.08.17 4:16:00	2006.08.17 5:21:00
Ilike	1	2006.08.17 4:36:00	2006.08.17 7:26:00
So-ku	1	2006.08.17 5:25:00	2006.08.17 7:54:00
Gombás	2	2006.08.17 5:35:00	2006.08.17 8:18:00
Erős János	2	2006.08.17 5:55:00	2006.08.17 8:16:00
Sonkás	1	2006.08.17 6:45:00	2006.08.17 9:35:00
Nikó	1	2006.08.17 6:46:00	2006.08.17 7:12:00
Quattro	1	2006.08.17 7:34:00	2006.08.17 8:05:00
Nyuszó-Muszó	1	2006.08.17 7:52:00	2006.08.17 8:19:00
Country	1	2006.08.17 8:29:00	2006.08.17 11:30:00
Király pizza	2	2006.08.17 8:50:00	2006.08.17 10:17:00
Ráki	1	2006.08.17 9:08:00	2006.08.17 12:16:00
Erős János	1	2006.08.17 9:50:00	2006.08.17 13:03:00
Barbecue chicken	3	2006.08.17 10:11:00	2006.08.17 12:49:00
Pásztor	1	2006.08.17 10:57:00	2006.08.17 13:01:00
Francia	1	2006.08.17 11:31:00	2006.08.17 13:08:00
Spanyol	1	2006.08.17 11:52:00	2006.08.17 12:27:00
Füstös	1	2006.08.17 12:38:00	2006.08.17 13:34:00
Pásztor	1	2006.08.17 13:32:00	2006.08.17 14:24:00
Mixi	1	2006.08.17 14:25:00	2006.08.17 17:08:00
Görög	1	2006.08.17 15:06:00	2006.08.17 16:42:00
Mexikói	1	2006.08.17 15:32:00	2006.08.17 16:49:00
Szőke kapitány	3	2006.08.17 16:27:00	2006.08.17 18:25:00
Son-go-ku	2	2006.08.17 16:28:00	2006.08.17 19:16:00
Ínyenc	1	2006.08.17 16:29:00	2006.08.17 19:07:00
Hawaii	3	2006.08.17 17:11:00	2006.08.17 19:38:00
HamAndEggs	1	2006.08.17 17:24:00	2006.08.17 19:33:00
Nikó	1	2006.08.17 17:41:00	2006.08.17 20:04:00
